블랙티거리,black_tee_distance,,,,,,,
파점수,par_score,,,,,,,
홀이미지파일명,hole_image_file_name,,,,,,,
홀이미지파일내용,hole_image_file_contents,,,,,,,
홀거리,hole_distance,,,,,,,
인아웃,inout_type,,,,,,,
레드티x,red_tee_x,,,,,,,
옐로우티x,yellow_tee_x,,,,,,,
화이트티x,white_tee_x,,,,,,,
블루티x,blue_tee_x,,,,,,,
블랙티x,black_tee_x,,,,,,,
레드티y,red_tee_y,,,,,,,
옐로우티y,yellow_tee_y,,,,,,,
화이트티y,white_tee_y,,,,,,,
블루티y,blue_tee_y,,,,,,,
블랙티y,black_tee_y,,,,,,,
레드티z,red_tee_z,,,,,,,
옐로우티z,yellow_tee_z,,,,,,,
화이트티z,white_tee_z,,,,,,,
블루티z,blue_tee_z,,,,,,,
블랙티z,black_tee_z,,,,,,,
공지사항식별번호,announce_seq,,,,,,,
FAQ식별번호,faq_seq,,,,,,,
배너식별번호,banner_seq,,,,,,,
팝업창식별번호,popup_seq,,,,,,,
진행홀,progress_hole,,,,,,,
진행홀번호,progress_hole_num,,,,,,,
게임모드,game_mode,,,,,,,
게임유형,game_type,,,,,,,
접속유형,connect_type,,,,,,,
멀리건횟수,mulligan,,,,,,,
그린빠르기,green_speed,,,,,,,
컨시드거리,concede,,,,,,,
바람세기,wind,,,,,,,
날씨,weather,,,,,,,
그린경사도표시방법,green_view,,,,,,,
스윙모션보기사용여부,swing_view,,,,,,,
스윙플레이트,swing_plate,,,,,,,
스크린게임별매장룸일련번호,game_room_seq,,,,,,,
게임매출금액,game_sales_amount,,,,,,,
기타매출금액,etc_sales_amount,,,,,,,
결제금액,payment_amount,,,,,,,
결제여부,payment_yn,,,,,,,
9홀요금,half_price,,,,,,,
18홀요금,full_price,,,,,,,
매장메뉴일련번호,store_menu_seq,,,,,,,
메뉴명,menu_name,,,,,,,
메뉴유형,menu_type,,,,,,,
단위가격,unit_price,,,,,,,
수량,quantity,,,,,,,
매장매출식별번호,store_sale_seq,,,,,,,
참여회원일련번호,join_member_seq,,,,,,,
회원여부,member_yn,,,,,,,
결제포인트,payment_point,,,,,,,
적립포인트,saving_point,,,,,,,
최종타수,sum_tar,,,,,,,
퍼팅횟수,sum_putting,,,,,,,
평균비거리,avg_distance,,,,,,,
평균캐리비거리,avg_carry_distance,,,,,,,
페어웨이안착율,fairway_land,,,,,,,
그린안착율,green_land,,,,,,,
멀리건사용횟수,mulligan_used_count,,,,,,,
최대비거리,max_distance,,,,,,,
최대캐리비거리,max_carry_distance,,,,,,,
홀타수,hole_tar,,,,,,,
그린온수,green_on,,,,,,,
홀퍼팅횟수,hole_putting,,,,,,,
티샷비거리,teeshot_distance,,,,,,,
티샷캐리비거리,teeshot_carry_distance,,,,,,,
티샷페어웨이안착여부,teeshot_fairway_land_yn,,,,,,,
그린안착여부,green_land_yn,,,,,,,
홀공략이미지,hole_attack_image,,,,,,,
샷번호,shot_seq,,,,,,,
샷비거리,shot_distance,,,,,,,
샷캐리비거리,shot_carry_distance,,,,,,,
샷위치x,shot_position_x,,,,,,,
샷위치y,shot_position_y,,,,,,,
샷위치z,shot_position_z,,,,,,,
샷구질,shot_pitch,,,,,,,
스윙영상파일명,swing_movie_file_name,,,,,,,
스윙영상파일내용,swing_movie_contents,,,,,,,
스윙이미지파일명,swing_image_file_name,,,,,,,
스윙이미지파일내용,swing_image_contents,,,,,,,
샷입력종류,shot_kind,,,,,,,
샷결과,shot_result,,,,,,,
홀번호,hole_seq,,,,,,,
소개,intro,,,,,,,
광고영상식별번호,ad_movie_seq,,,,,,,
광고영상파일명,ad_movie_file_name,,,,,,,
광고영상파일내용,ad_movie_contents,,,,,,,
광고영상버전-일시,ad_movie_version,,,,,,,
스폰서식별아이디,sponsor_id,,,,,,,
스폰서명,sponsor_name,,,,,,,
GNC고정여부,gnc_fixed_yn,,,,,,,
동호회식별번호,cafe_seq,,,,,,,
공개여부,public_yn,,,,,,,
비공개비밀번호,password,,,,,,,
대회유형,contest_type,,,,,,,
대회명,contest_name,,,,,,,
대회이미지파일명,contest_image_file_name,,,,,,,
대회이미지파일내용,contest_image_contents,,,,,,,
시상내용,award_contents,,,,,,,
규칙내용,rule_contents,,,,,,,
게임난이도,game_difficulty,,,,,,,
티샷위치-남,tee_position_male,,,,,,,
티샷위치-여,tee_position_feemale,,,,,,,
승인상태,permit_status,,,,,,,
거리단위,distance_unit,,,,,,,
18홀여부,full_game_yn,,,,,,,
히든홀,hidden_hole,,,,,,,
홀스킵여부,hole_skip_yn,,,,,,,
남은거리,remain_distance,,,,,,,
화면번호,screen_num,,,,,,,
지역,area,,,,,,,
골프시스템버전,golf_system_version,,,,,,,
패치파일일련번호,patch_file_seq,,,,,,,
패치파일명,patch_file_name,,,,,,,
패치파일경로,patch_file_path,,,,,,,
패치파일서버아이디,patch_file_server_id,,,,,,,
패치파일서버명,patch_file_server_name,,,,,,,
도메인,domain,,,,,,,
접속포트,connect_port,,,,,,,
패치파일루트경로,patch_file_root_path,,,,,,,
골프장버전,golf_club_version,,,,,,,
패치스케쥴일련번호,patch_schedule_seq,,,,,,,
패치시작시간,patch_start_time,,,,,,,
팀일련번호,team_seq,,,,,,,
팀명,team_name,,,,,,,
