파라메타내용,param_contents,,,,,,,
팝업창구분,popup_type,,,,,,,
팝업창식별번호,popup_seq,,,,,,,
푸시토큰,push_token,,X,,,,,
학교구분,school_type,,,,,,,
학교명,school_name,,,,,,,
학교식별번호,school_seq,,X,,,,,
학교입력옵션,school_input_option,,X,,,,,
학교제한사용여부,school_use_yn,,X,,,,,
학급식별번호,class_seq,,,,,,,
학년,grade,,,,,,,
학생답,student_answer,,,,,,,
학생모바일호스트명,student_mobile_host,,X,,,,,
학생식별번호,student_seq,,,,,,,
학생웹호스트명,student_web_host,,X,,,,,
학습구분,study_type,,,,,,,
학제,school_system,,X,,,,,
할인가격,discount_price,,,,,,,
해설,solution,,,,,,,
핸드폰번호,handphone,,,,,,,
회원구분,member_type,,,,,,,
회원식별번호,member_seq,,,,,,,
회차,ord_num,,,,,,,
포인트,point,,X,,,,,
식별번호,seq,,X,,,,,
아이피주소,ip_address,,X,,,,,
모바일앱아이디,mobile_app_id,,X,,,,,
모바일앱버전,mobile_version,,X,,,,,
로그일시,log_time,,X,,,,,
로그유형,log_type,,X,,,,,
로그레벨,log_level,,X,,,,,
로그메시지,log_message,,X,,,,,
첨부파일경로,attach_file_path,,X,,,,,
첨부파일명,attach_file_name,,X,,,,,
배너이미지,banner_image,,X,,,,,
썸네일이미지,thumb_image,,X,,,,,
팝업이미지,popup_image,,X,,,,,
문제유형번호,question_type_number,,X,,,,,
컨텐츠회차,content_order_num,,X,,,,,
사용기간월,use_months,,X,,,,,
설명,remark,,X,,,,,
어휘퀴즈식별번호,word_quiz_seq,,X,,,,,
추천문제식별번호,recommend_seq,,X,,,,,
포인터내역식별번호,point_hist_seq,,X,,,,,
사유코드,reason_cd,,X,,,,,
사유내용,reason_contents,,X,,,,,
년월,yyyy_mm,,X,,,,,
년주,yyyy_ww,,X,,,,,
명예타입,honer_type,,X,,,,,
순위,ranking,,X,,,,,
점수,score,,X,,,,,
포인트내역식별번호,point_hist_seq,,X,,,,,
사유구분,reason_type,,X,,,,,
